shoe_name,audience_score,best_price,signature_player,top_style,ankle_support,weight_oz,weight_g,is_lightweight,breathability_score,traction_score,energy_return,shock_absorption,outsole_durability_mm,drop_mm,heel_stack_mm,forefoot_stack_mm,width_fit,midsole_softness,stiffness_n,torsional_rigidity_score,heel_counter_stiffness_score,toebox_width_mm,midsole_width_forefoot_mm,midsole_width_heel_mm,heel_padding_durability_score,toebox_durability_score,insole_thickness_mm,outsole_hardness_hc,outsole_thickness_mm,heel_tab
Adidas Harden Vol. 9,90,160.0,James Harden,Low,1,14.6,414,0,4,0.7,0.631,107,0.8,7.4,27.7,20.3,True to size,40.0,23.3,4,3,65.3,110.2,87.6,4,4,4.7,83.5,4.3,Finger loop
Air Jordan XXXIX,89,200.0,Michael Jordan,Low,1,13.9,394,1,1,0.77,0.749,118,0.9,7.2,27.1,19.9,True to size,16.5,19.3,4,3,72.6,110.9,85.7,3,4,4.4,79.0,3.0,None
Adidas Dame 9,92,120.0,Damian Lillard,Low,1,14.7,417,0,2,0.69,0.549,105,0.8,7.7,27.8,20.1,True to size,39.8,23.8,5,4,71.0,120.1,93.0,4,4,4.1,81.5,3.1,Finger loop
Nike KD 18,88,155.0,Kevin Durant,Low,1,14.9,422,0,4,0.89,0.727,115,1.2,4.8,26.7,21.9,True to size,47.0,20.1,4,4,68.1,116.0,86.7,5,3,3.9,,4.0,None
Adidas D.O.N. Issue 7,88,120.0,Donovan Mitchell,Low,1,14,397,1,2,0.87,0.545,101,1.1,9.0,28.4,19.4,-,35.5,17.0,5,4,69.8,115.5,95.2,2,3,3.8,,3.4,Finger loop
Adidas Dame Certified,85,95.0,Damian Lillard,Low,1,14.3,404,0,1,-,-,,0.8,9.8,30.3,20.5,True to size,30.0,35.5,5,4,72.5,120.1,95.6,5,4,4.2,83.0,2.9,Finger loop
Adidas Trae Young 3,88,140.0,Trae Young,Low,1,15,425,0,3,-,-,,0.7,8.9,29.6,20.7,True to size,22.5,40.8,5,4,69.7,122.2,105.1,3,3,4.1,88.0,3.5,Finger loop
Adidas D.O.N. Issue #6,92,120.0,Donovan Mitchell,Low,1,12.9,366,1,4,0.99,0.581,102,0.9,8.0,28.9,20.9,True to size,32.1,21.3,5,4,67.4,114.9,88.7,3,3,4.5,74.0,3.2,Finger loop
Nike Ja 2,92,120.0,Ja Morant,Low,1,11.9,336,1,4,0.77,0.598,94,1.1,3.9,26.1,22.2,Slightly small,50.9,22.1,4,4,70.5,111.2,87.4,3,3,4.2,79.5,3.5,None
Nike Book 1,87,140.0,Devin Booker,Low,1,13.6,386,1,1,0.79,0.55,104,1.0,7.0,26.9,19.9,Slightly small,50.9,17.1,5,5,69.9,113.7,83.6,5,4,4.8,80.2,4.0,Finger loop
