shoe_name,footlocker_product_url,page_title,review_product_id,review_api_url,error
Adidas Dame 9,,,,,not found on FL
Adidas D.O.N. Issue #6,,,,,not found on FL
Adidas Harden Vol. 9,,,,,not found on FL
Nike Ja 2,,,,,not found on FL
Adidas Anthony Edwards 1 Low,,,,,not found on FL
Nike LeBron 22,,,,,not found on FL
Nike Book 1,,,,,not found on FL
PUMA All Pro Nitro,,,,,not found on FL
Nike KD 18,,,,,not found on FL
Nike Sabrina 2,,,,,not found on FL
Adidas Harden Vol. 8,,,,,not found on FL
Nike G.T. Cut Academy,,,,,not found on FL
Nike Ja 1,,,,,not found on FL
Nike LeBron 23,,,,,not found on FL
Nike G.T. Cut 3,,,,,not found on FL
Adidas Harden Vol. 7,,,,,not found on FL
Nike LeBron 21,,,,,not found on FL
Nike Sabrina 1,,,,,not found on FL
Nike LeBron 20,,,,,not found on FL
Nike LeBron Witness 7,,,,,not found on FL
Jordan Luka 1,,,,,not found on FL
Adidas D.O.N. Issue 7,,,,,not found on FL
Nike G.T. Hustle 2,,,,,not found on FL
Adidas Dame 8,,,,,not found on FL
Nike Cosmic Unity 3,,,,,not found on FL
Nike LeBron NXXT GEN,,,,,not found on FL
Adidas Trae Young 3,,,,,not found on FL
Jordan Luka 4,,,,,not found on FL
Nike G.T. Hustle 3,,,,,not found on FL
Nike Giannis Freak 6,,,,,not found on FL
Nike KD 17,,,,,not found on FL
